property_name,original_date,delay_date,completion
Melody Spring @ Yishun,2021-12-01,2022-11-01,100%
West Scape @ Bukit Batok,2021-12-01,2022-11-01,100%
Woodleigh Village,2021-12-01,2022-12-01,100%
Sky Vista @ Bukit Batok,2022-03-01,2022-12-01,100%
Anchorvale Village,2022-03-01,2022-12-01,100%
Tampines GreenCourt,2022-03-01,2022-12-01,100%
Ubi Grove,2021-12-01,2022-12-01,100%
Yishun Glen,2022-03-01,2023-01-01,100%
Clementi NorthArc,2022-06-01,2023-03-01,98%
Marsiling Grove,2022-03-01,,
Eunos Court,2022-03-01,2023-03-01,98%
Tampines GreenVines,2022-06-01,2023-03-01,97%
Woodleigh Hillside,2022-06-01,2023-04-01,96%
Fernvale Dew,2022-06-01,2023-04-01,96%
Teck Whye View,2022-06-01,2023-06-01,93%
Kim Keat Beacon,2022-09-01,2023-07-01,91%
Kallang Breeze,2022-09-01,2023-06-01,91%
Jurong West Jewel,2022-06-01,2023-06-01,91%
Rivervale Shores,2022-09-01,2023-09-01,90%
Punggol Point Woods,2023-03-01,2023-09-01,88%
Boon Lay Glade,2022-09-01,2023-09-01,86%
Plantation Acres,2022-12-01,2023-09-01,85%
Tampines GreenGem,2023-06-01,2024-01-01,81%
Fernvale Vines,2023-01-01,2024-01-01,80%
Punggol Point Cove,2023-01-01,2024-03-01,80%
Plantation Grange,2022-12-01,2023-12-01,78%
Tampines GreenSpring,2023-03-01,2023-12-01,78%
Plantation Grove,2023-09-01,2024-06-01,75%
Keat Hong Verge,2023-03-01,,95%
MacPherson Blossom,2023-06-01,,93%
Champions Green,2023-12-01,,81%
Tampines GreenGlade,2023-09-01,,79%
Yio Chu Kang Beacon,2023-12-01,,78%
Punggol Point Crown,2023-12-01,2024-03-01,75%
Tampines GreenGlen,2023-06-01,2024-03-01,75%
Plantation Village,2023-03-01,2024-04-01,74%
Towner Crest,2023-09-01,2024-08-01,72%
Garden Vale @ Tengah,2023-09-01,2024-08-01,71%
Garden Vines @ Tengah,2023-09-01,2024-09-01,66%
Punggol Point Cove Sep,2024-01-01,2024-12-01,64%
Kempas Residences,2024-09-01,2025-07-01,60%
Garden Court @ Tengah,2024-03-01,2024-09-01,57%
Garden Terrace @ Tengah,2024-03-01,2024-09-01,57%
Tampines GreenCrest,2023-12-01,,74%
Kim Keat Ripples,2024-06-01,,68%
Canberra Vista,2024-09-01,,64%
Champions Bliss,2024-09-01,,60%
Toa Payoh Ridge,2025-03-01,,58%
Alkaff Breeze,2024-06-01,,58%
Harmony Village @ Bukit Batok,2024-06-01,,58%
Kebun Baru Edge,2025-03-01,,53%
Bishan Towers,2025-06-01,,51%
Dakota One,2025-06-01,,51%
Tampines GreenOpal,2025-06-01,,51%
Tampines GreenEmerald,2025-03-01,,51%
ParkView @ Bidadari,2025-03-01,,51%
Costa Grove,2025-12-01,2026-06-01,42%
Bishan Ridges,2026-06-01,2026-10-01,37%
ParkEdge @ Bidadari,2025-03-01,2026-08-01,35%
Bartley GreenRise,2025-06-01,2026-12-01,33%
Woodgrove Ascent,2025-09-01,2027-03-01,29%
McNair Heights,2026-06-01,2027-12-01,29%
West Hill @ Bukit Batok,2026-06-01,2028-01-01,28%
MacPherson Weave,2026-03-01,2027-09-01,27%
Parc Woods @ Tengah,2025-03-01,,48%
Bartley Beacon,2025-06-01,,48%
Parc Residences @ Tengah,2025-09-01,,48%
Sun Sails,2025-06-01,,48%
UrbanVille @ Woodlands,2026-06-01,,42%
Hougang Citrine,2025-03-01,,41%
Parc Glen @ Tengah,2024-12-01,,39%
Parc Clover @ Tengah,2024-12-01,,39%
Garden Bloom @ Tengah,2025-09-01,,39%
Tampines GreenJade,2025-09-01,,36%
Hougang Olive,2025-03-01,,36%
Grove Spring @ Yishun,2024-12-01,,33%
Toh Guan Grove,2026-03-01,,32%
Tampines GreenQuartz,2026-06-01,,30%
Kovan Wellspring,2026-09-01,,29%
Nanyang Opal,2025-12-01,,29%
Yishun Boardwalk,2025-06-01,,28%
Towner Residences,2026-12-01,,27%
Tanjong Tree Residences @ Hougang,2026-06-01,,26%
Parc Flora @ Tengah,2025-09-01,,26%
Telok Blangah Beacon,2027-03-01,2028-09-01,23%
Heart of Yew Tee,2026-09-01,,25%
Queen's Arc,2027-09-01,,24%
Kent Heights,2026-12-01,,24%
Plantation Creek,2026-06-01,,22%
River Peaks I & II,2028-06-01,,18%
King George’s Heights,2027-09-01,,17%
Yishun Beacon,2026-06-01,,17%
Dakota Crest,2027-12-01,,16%
Lakeside View,2026-12-01,,15%
Kim Keat Heights,2027-09-01,,13%
Bukit Merah Ridge,2028-03-01,,12%
Ghim Moh Ascent,2028-03-01,,12%
Sun Plaza Spring,2026-06-01,,12%
Woodlands South Plains,2027-03-01,,10%
Keat Hong Grange,2026-12-01,,10%
Jurong East Breeze,2028-06-01,,8%
Alexandra Vale,2028-06-01,,8%
Central Weave @ AMK,2028-06-01,,8%
Havelock Hillside,2028-12-01,,7%
Garden Waterfront I & II @ Tengah,2027-03-01,,5%
Aranda Breeze @ Yishun,2028-06-01,,4%
Ghim Moh Natura,2028-03-01,,4%
Kallang Horizon,2028-03-01,,4%
West Glades @ Bukit Batok,2028-03-01,,4%
Miltonia Breeze @ Yishun,2029-06-01,,3%
Vanda Breeze @ Yishun,2029-06-01,,3%
Queensway Canopy,2028-12-01,,3%
Ulu Pandan Banks,2029-09-01,,3%
