housing_street,latitude,longitude,nearest_school,distance_to_school,nearest_malls,distance_to_malls,nearest_train_station,distance_to_train_station
406 ANG MO KIO AVE 10,1.36200453938712,103.853879910407,Townsville Primary School,0.21934722478676622,AMK Hub,1.0062107220553191,Ang Mo Kio,1.0114327131178416
108 ANG MO KIO AVE 4,1.37094273993861,103.837974822369,Ang Mo Kio Primary School,0.25763760229052324,Broadway Plaza,0.8933548892161352,Ang Mo Kio,1.294984125286726
602 ANG MO KIO AVE 5,1.38070883044887,103.835368226602,Mayflower Primary School,0.5096601026617587,Broadway Plaza,1.5280201048163604,Yio Chu Kang,1.068606637408383
465 ANG MO KIO AVE 10,1.3662010408294,103.857200967235,Teck Ghee Primary School,0.6974273808069511,myVillage At Serangoon Garden,0.8929027342395961,Ang Mo Kio,0.9470968398930134
601 ANG MO KIO AVE 5,1.38104134784496,103.835131744823,Mayflower Primary School,0.5494385512349612,Broadway Plaza,1.5719004361422408,Yio Chu Kang,1.0913918469415775
150 ANG MO KIO AVE 5,1.37680678506745,103.842017962576,Mayflower Primary School,0.6945181704868738,Broadway Plaza,0.695831762922993,Yio Chu Kang,0.6389428072408415
447 ANG MO KIO AVE 10,1.36750371103856,103.855897952833,Teck Ghee Primary School,0.5891076516478622,AMK Hub,0.8490135752343646,Ang Mo Kio,0.7553867091979418
218 ANG MO KIO AVE 1,1.36511907555698,103.841742483384,Ang Mo Kio Primary School,0.522959394910907,AMK Hub,0.8773877904481685,Ang Mo Kio,1.0286892928336564
571 ANG MO KIO AVE 3,1.37005500420092,103.854880566919,Teck Ghee Primary School,0.6610287050744282,AMK Hub,0.7188040492216666,Ang Mo Kio,0.5883478127950145
534 ANG MO KIO AVE 10,1.37405846295585,103.854168170426,Teck Ghee Primary School,1.007260866594386,Jubilee Square,0.7477354442118358,Ang Mo Kio,0.6785146604822668
233 ANG MO KIO AVE 3,1.36754924977907,103.836740628478,Ang Mo Kio Primary School,0.37692423317781676,Broadway Plaza,1.1340178700137475,Ang Mo Kio,1.4544454149663637
235 ANG MO KIO AVE 3,1.36682360708102,103.83649123895,Ang Mo Kio Primary School,0.4460620329975866,Broadway Plaza,1.1953135422712926,Ang Mo Kio,1.498766727895278
219 ANG MO KIO AVE 1,1.36598198004505,103.840654039612,Ang Mo Kio Primary School,0.38839469277094535,Broadway Plaza,0.8860152448898577,Ang Mo Kio,1.0901423044969936
