station_name,type,lat,lng,time_taken_to_raffles_place_mrt
Jurong East,MRT,1.333207,103.742308,24.7
Bukit Batok,MRT,1.349069,103.749596,27.533333333333335
Bukit Gombak,MRT,1.359043,103.751863,29.6
Choa Chu Kang,MRT,1.385417,103.744316,34.45
Yew Tee,MRT,1.397383,103.747523,36.85
Kranji,MRT,1.425302,103.762049,42.86666666666667
Marsiling,MRT,1.432579,103.77415,46.4
Woodlands,MRT,1.436984,103.786406,43.86666666666667
Admiralty,MRT,1.436984,103.786406,43.86666666666667
Sembawang,MRT,1.449133,103.82006,37.483333333333334
Yishun,MRT,1.429666,103.835044,32.38333333333333
Khatib,MRT,1.417423,103.832995,30.05
Yio Chu Kang,MRT,1.381765,103.844923,23.033333333333335
Ang Mo Kio,MRT,1.370025,103.849588,20.616666666666667
Bishan,MRT,1.35092,103.848206,16.95
Braddell,MRT,1.34055,103.847098,14.883333333333333
Toa Payoh,MRT,1.332405,103.847436,13.183333333333334
Novena,MRT,1.320089,103.843405,10.733333333333333
Newton,MRT,1.31383,103.838021,8.683333333333334
Orchard,MRT,1.304041,103.831792,6.616666666666666
Somerset,MRT,1.300508,103.838428,4.766666666666667
Dhoby Ghaut,MRT,1.299169,103.845799,3.2
City Hall,MRT,1.293119,103.852089,1.3666666666666667
Raffles Place,MRT,1.284001,103.85155,0.0
Marina Bay,MRT,1.276481,103.854598,1.25
Marina South Pier,MRT,1.271422,103.863581,3.4833333333333334
Tuas Link,MRT,1.340371,103.636866,49.43333333333333
Tuas West Road,MRT,1.330075,103.639636,46.983333333333334
Tuas Crescent,MRT,1.321091,103.649075,44.56666666666667
Gul Circle,MRT,1.319809,103.66083,41.86666666666667
Joo Koon,MRT,1.327826,103.678318,38.25
Pioneer,MRT,1.337645,103.69742,34.2
Boon Lay,MRT,1.33862,103.705817,32.38333333333333
Lakeside,MRT,1.344264,103.720797,29.533333333333335
Chinese Garden,MRT,1.342436,103.732582,27.183333333333334
Clementi,MRT,1.314925,103.765341,19.533333333333335
Dover,MRT,1.311414,103.778596,16.783333333333335
Buona Vista,MRT,1.307337,103.790046,14.466666666666667
Commonwealth,MRT,1.302439,103.798326,12.483333333333333
Queenstown,MRT,1.294867,103.805902,10.333333333333334
Redhill,MRT,1.289674,103.816787,8.016666666666667
Tiong Bahru,MRT,1.286555,103.826956,5.883333333333334
Outram Park,MRT,1.280319,103.839459,3.35
Tanjong Pagar,MRT,1.276385,103.846771,1.5333333333333334
Bugis,MRT,1.300747,103.855873,3.2
Lavender,MRT,1.307577,103.863155,5.233333333333333
Kallang,MRT,1.311532,103.871372,7.133333333333334
Aljunied,MRT,1.316474,103.882762,9.533333333333333
Paya Lebar,MRT,1.318214,103.893133,11.566666666666666
Eunos,MRT,1.319809,103.902888,13.533333333333333
Kembangan,MRT,1.320998,103.913433,15.55
Bedok,MRT,1.324043,103.930205,18.666666666666668
Tanah Merah,MRT,1.327309,103.946479,21.65
Simei,MRT,1.343237,103.953343,25.466666666666665
Tampines,MRT,1.354467,103.943325,27.883333333333333
Pasir Ris,MRT,1.373234,103.949343,31.55
Expo,MRT,1.334479,103.961459,27.966666666666665
Changi Airport,MRT,1.357622,103.988487,31.016666666666666
HarbourFront,MRT,1.265453,103.820514,7.35
Chinatown,MRT,1.284566,103.843626,0.65
Clarke Quay,MRT,1.288949,103.847521,5.016666666666667
Little India,MRT,1.306691,103.849396,4.45
Farrer Park,MRT,1.312679,103.854872,6.016666666666667
Boon Keng,MRT,1.320091,103.861655,8.016666666666667
Potong Pasir,MRT,1.331316,103.868779,10.616666666666667
Woodleigh,MRT,1.339202,103.870727,12.3
Serangoon,MRT,1.349862,103.873635,14.433333333333334
Kovan,MRT,1.360207,103.885163,17.283333333333335
Hougang,MRT,1.371406,103.892533,19.833333333333332
Buangkok,MRT,1.382991,103.893347,22.033333333333335
Sengkang,MRT,1.391682,103.895475,23.9
Punggol,MRT,1.405191,103.902367,26.633333333333333
Bras Basah,MRT,1.296978,103.850715,3.8666666666666667
Esplanade,MRT,1.293995,103.855396,1.3666666666666667
Promenade,MRT,1.294063,103.860156,4.883333333333334
Nicoll Highway,MRT,1.300292,103.863449,8.533333333333333
Stadium,MRT,1.302847,103.875417,10.866666666666667
Mountbatten,MRT,1.306106,103.883175,12.566666666666666
Dakota,MRT,1.308474,103.888825,13.183333333333334
MacPherson,MRT,1.326769,103.889901,12.933333333333334
Tai Seng,MRT,1.33594,103.887706,14.8
Bartley,MRT,1.342923,103.87966,17.083333333333332
Lorong Chuan,MRT,1.35153,103.864957,19.25
Marymount,MRT,1.349089,103.839116,19.016666666666666
Caldecott,MRT,1.337649,103.839627,21.183333333333334
Botanic Gardens,MRT,1.322387,103.814905,12.366666666666667
Farrer Road,MRT,1.317606,103.807711,14.616666666666667
Holland Village,MRT,1.311189,103.796119,15.683333333333334
one-north,MRT,1.299854,103.787584,15.55
Kent Ridge,MRT,1.293629,103.784441,17.116666666666667
Haw Par Villa,MRT,1.283149,103.781991,15.416666666666666
Pasir Panjang,MRT,1.276111,103.791893,13.133333333333333
Labrador Park,MRT,1.27218,103.802557,10.85
Telok Blangah,MRT,1.270769,103.809878,9.3
Bayfront,MRT,1.281371,103.858998,2.2666666666666666
Bukit Panjang,MRT,1.37834,103.762452,28.9
Cashew,MRT,1.369997,103.764569,26.85
Hillview,MRT,1.363185,103.767371,25.183333333333334
Beauty World,MRT,1.341607,103.775682,21.166666666666668
King Albert Park,MRT,1.335721,103.783203,19.133333333333333
Sixth Avenue,MRT,1.331221,103.79718,16.516666666666666
Tan Kah Kee,MRT,1.325826,103.807959,14.316666666666666
Stevens,MRT,1.320012,103.825964,10.366666666666667
Rochor,MRT,1.303601,103.852581,4.15
Downtown,MRT,1.27949,103.852802,0.0
Telok Ayer,MRT,1.282285,103.848584,0.0
Fort Canning,MRT,1.291631,103.844621,1.9333333333333333
Bencoolen,MRT,1.298477,103.849984,3.2
Jalan Besar,MRT,1.305551,103.855443,3.2
Bendemeer,MRT,1.313674,103.863098,7.6
Geylang Bahru,MRT,1.321479,103.871457,9.05
Mattar,MRT,1.326878,103.883304,10.316666666666666
Ubi,MRT,1.330008,103.898911,15.25
Kaki Bukit,MRT,1.335076,103.909057,17.266666666666666
Bedok North,MRT,1.335268,103.918054,19.216666666666665
Bedok Reservoir,MRT,1.336595,103.93307,21.416666666666668
Tampines West,MRT,1.345583,103.938244,24.033333333333335
Tampines East,MRT,1.35631,103.955471,33.083333333333336
Upper Changi,MRT,1.342218,103.961505,29.083333333333332
South View,LRT,1.380299,103.745286,34.45
Keat Hong,LRT,1.378604,103.749058,28.9
Teck Whye,LRT,1.376738,103.753665,28.9
Phoenix,LRT,1.378798,103.758021,28.9
Senja,LRT,1.382852,103.762312,28.9
Jelapang,LRT,1.386703,103.764547,28.9
Segar,LRT,1.387713,103.769599,28.9
Fajar,LRT,1.384502,103.770862,28.9
Bangkit,LRT,1.380281,103.772576,28.9
Pending,LRT,1.376223,103.771277,28.9
Petir,LRT,1.377828,103.76655,28.9
Compassvale,LRT,1.394615,103.900443,23.9
Rumbia,LRT,1.391553,103.905947,23.9
Bakau,LRT,1.38804,103.905412,23.9
Kangkar,LRT,1.383957,103.90216,22.033333333333335
Ranggung,LRT,1.384116,103.897386,22.033333333333335
Cheng Lim,LRT,1.396332,103.89379,23.9
Farmway,LRT,1.397178,103.889168,23.9
Kupang,LRT,1.398271,103.881283,
Thanggam,LRT,1.397378,103.87561,
Fernvale,LRT,1.392033,103.876256,
Layar,LRT,1.392141,103.880022,22.033333333333335
Tongkang,LRT,1.389519,103.885829,22.033333333333335
Renjong,LRT,1.386827,103.890541,22.033333333333335
Cove,LRT,1.399534,103.905792,26.633333333333333
Meridian,LRT,1.397002,103.908884,26.633333333333333
Coral Edge,LRT,1.39392,103.912633,26.633333333333333
Riviera,LRT,1.39454,103.916056,
Kadaloor,LRT,1.399633,103.916536,
Oasis,LRT,1.402304,103.912736,26.633333333333333
Damai,LRT,1.405293,103.908606,26.633333333333333
Sam Kee,LRT,1.409808,103.90492,26.633333333333333
Teck Lee,LRT,1.412783,103.906565,
Punggol Point,LRT,1.416932,103.90668,
Samudera,LRT,1.415955,103.902185,
Nibong,LRT,1.411865,103.900321,26.633333333333333
Sumang,LRT,1.408501,103.898605,26.633333333333333
Soo Teck,LRT,1.405436,103.897287,26.633333333333333
