property_name,street,no_of_units
West Scape @ Bukit Batok,Bounded by by Bukit Batok Road and Bukit Batok West Avenue 2,1140
Ubi Grove,"Bounded by Ubi Avenue 1, Ubi Avenue 2, and Ubi Road 3",1193
Sky Vista @ Bukit Batok,Along Bukit Batok West Avenue 6,257
Anchorvale Village,Bounded by Anchorvale Street and Anchorvale Road,207
Tampines GreenCourt,"Bounded by Tampines North Drive 2, Tampines Street 62, and Tampines Avenue 12",2192
Woodleigh Village,"Bounded by Woodleigh Link, Upper Serangoon Road and Bidadari Park Drive",330
Yishun Glen,Bounded by Yishun Avenue 1 and Yishun Avenue 8,1693
Clementi NorthArc,Bounded by Clementi Avenue 6 and Commonwealth Avenue West,1179
Tampines GreenVines,Bounded by Tampines Street 62 and Tampines North Drive 2,1271
Eunos Court,"Bounded by Eunos Avenue 5, Eunos Crescent and Eunos Road 2",742
Marsiling Grove,Bounded by Marsiling Road and Woodlands Street 13,1246
Woodleigh Hillside,Bartley Road and Bidadari Park Drive,1355
Fernvale Dew,"Bounded by Sengkang West Road, Sengkang West Avenue, and Fernvale Lane",1188
Keat Hong Verge,Bounded by Keat Hong Link and Choa Chu Kang Grove,571
Teck Whye View,"Located at Jalan Teck Whye, along the Pang Sua Park Connector",574
MacPherson Blossom,Blocks 81 to 83 MacPherson Lane,3
Jurong West Jewel,Bounded by Upper Jurong Road and Jurong West Street 93,599
Kallang Breeze,Along Lorong 3 Geylang,411
Kim Keat Beacon,Along Kim Keat Avenue,542
Rivervale Shores,Bounded by Sengkang East Drive and Tampines Expressway,2500
Punggol Point Woods,Bounded by Punggol Way and New Punggol Road,940
Boon Lay Glade,Bounded by Boon Lay Way and Boon Lay Drive,775
Plantation Acres,Along Plantation Crescent,1193
Tampines GreenGem,Bounded by Bedok Reservoir Road and Tampines Street 96,1086
Fernvale Vines,Along Fernvale Street and Fernvale Road,933
Champions Green,Bounded by Champions Way and Woodlands Drive 17,722
Punggol Point Cove,Bounded by Punggol Way and New Punggol Road,1172
Tampines GreenGlade,Bounded by Tampines Street 64 and Tampines North Drive 1,354
Tampines GreenSpring,"Bounded by Tampines Avenue 5 and Tampines Walk, Tampines GreenSpring",657
Plantation Grange,"Bounded by Plantation Crescent, Tengah Boulevard, and Tengah Garden Avenue,",1140
Yio Chu Kang Beacon,Along Ang Mo Kio Avenue 9,454
Plantation Grove,Located in the Plantation District of the new Tengah town,1620
Tampines GreenGlen,Bounded by Tampines North Drive 1 and Tampines Street 64,649
Punggol Point Crown,"Bounded by New Punggol Road, Northshore Drive, and a proposed Heritage Trail by NParks",1545
Plantation Village,"Bounded by Tengah Drive and Plantation Crescent, Plantation Village",1420
Tampines GreenCrest,Bounded by Tampines Street 64 and Tampines North Drive 2,346
Towner Crest,Bounded by Serangoon Road and Towner Road,444
Garden Vale @ Tengah,"Bounded by Plantation Crescent, Tengah Boulevard and Tengah Drive",987
Kim Keat Ripples,Bounded by Toa Payoh East and Kim Keat Avenue,708
Garden Vines @ Tengah,"Bounded by Tengah Drive, Tengah Garden Walk, and Plantation Crescent",900
Canberra Vista,"Along Canberra Drive, Canberra Vista",1467
Punggol Point Cove (Sep),Along the eastern shoreline of Punggol Point District,1179
Kempas Residences,"Bounded by Serangoon Road, Lavender Street, and Boon Keng Road",583
Champions Bliss,"Bounded by Champions Way and Woodlands Avenue 1, Champions Bliss",349
Harmony Village @ Bukit Batok,Bounded by Bukit Batok West Avenue 6 and Avenue 9,169
Alkaff Breeze,Bounded by Upper Aljunied Road and Alkaff Crescent,353
Toa Payoh Ridge,Bounded by Toa Payoh East and Kim Keat Avenue,920
Garden Terrace @ Tengah,"Bounded by Tengah Garden Avenue, Plantation Crescent, and Tengah Boulevard",789
Garden Court @ Tengah,"Bounded by Tengah Garden Avenue, Tengah Garden Walk, and Plantation Crescent",790
Kebun Baru Edge,Along Ang Mo Kio Avenue 1 and across the street from Bishan-Ang Mo-Kio Park,380
Bishan Towers,Located along Kallang River and bounded by Bishan Street 11 and Braddell Road,472
Dakota One,"Bounded by Cassia Link, Jalan Satu, and Jalan Dua",421
Tampines GreenOpal,Bounded by Tampines Street 96 and 95,1070
Tampines GreenEmerald,Bounded by Bedok Reservoir Road and Tampines Street 96,750
ParkView @ Bidadari,"Bounded by Upper Aljunied Road, the upcoming Sang Nila Utama Road, and the future Bidadari Park.",358
Parc Residences @ Tengah,Bounded by Tengah Park Avenue and Tengah Drive,1044
