c1,c2,c3,c4,c5,c6,c7,c8,c9,latitude,longitude
 NS1  EW24  ,Jurong East,裕廊东,ஜூரோங் கிழக்கு,10 March 1990,"Jurong East
",JUR,Jurong East,"  East West Line — Jurong East
",1.34394361727901,103.734931027328
 NS2  ,Bukit Batok,武吉巴督,புக்கிட் பாத்தோக்,"Bukit Batok South
",BBT,Bukit Batok," Bukit Batok
",,1.34600823620384,103.747049734277
 NS3  ,Bukit Gombak,武吉甘柏,புக்கிட் கோம்பாக்,"Bukit Batok North
",BGB,Bukit Batok,"—
",,1.36923536968527,103.760397157939
—,Brickland,红砖,பிரிக்லேன்ட்,Mid-2030s,Brickland,TBA,"Exact location not yet known
",,,
 NS4  BP1  ,Choa Chu Kang,蔡厝港,சுவா சூ காங்,10 March 1990,"Choa Chu Kang
",CCK,Choa Chu Kang,"  Bukit Panjang LRT — Choa Chu Kang
",1.37633651417178,103.72530295941
 NS5  ,Yew Tee,油池,இயூ டீ,10 February 1996,"Choa Chu Kang North
",YWT,Choa Chu Kang,"—
",1.39767018280645,103.746170276385
—,Sungei Kadut,双溪加株,சுங்கை காடுத்,Mid-2030s,"Kadut,[15] Sungei Kadut",TBA,"Sungei Kadut
",,,
 NS7  ,Kranji,克兰芝,கிராஞ்சி,10 February 1996,"Kranji
",KRJ,"Sungei Kadut
",,1.40110741931207,103.741195338584
 NS8  ,Marsiling,马西岭,மார்சிலிங்,"Woodlands West
",MSL,"Woodlands
",,,1.44270022874362,103.775436532502
 NS9  TE2   ,Woodlands,兀兰,ஊட்லண்ட்ஸ்,"Woodlands Central
",WDL,Woodlands,"  Thomson–East Coast Line — Woodlands Woodlands Temporary
",,1.43357568988365,103.804329417963
 NS10  ,Admiralty,海军部,அட்மிரல்ட்டி,"Woodlands East
",ADM,Woodlands,"—
",,1.44029961420554,103.805892481401
 NS11  ,Sembawang,三巴旺,செம்பாவாங்,"Sembawang
",SBW,Sembawang," Sembawang
",,1.41961709645547,103.821095255144
 NS12  ,Canberra,坎贝拉,கான்பரா,2 November 2019,"Canberra
",CBR,Sembawang,"—
",1.44504413701863,103.819473731124
 NS13  ,Yishun,义顺,யீஷூன்,20 December 1988,"Nee Soon North
",YIS,Yishun," Yishun
",1.43071857830265,103.836789569146
 NS14  ,Khatib,卡迪,காதிப்,"Nee Soon South
",KTB,Yishun,"—
",,1.42555616856012,103.840524922186
 NS15  ,Yio Chu Kang,杨厝港,இயோ சூ காங்,7 November 1987,"Yio Chu Kang
",YCK,Ang Mo Kio," Yio Chu Kang
",1.38829758239696,103.842374716753
 NS16  ,Ang Mo Kio,宏茂桥,அங் மோ கியோ,"Ang Mo Kio
",AMK,Ang Mo Kio," Ang Mo Kio
",,1.35956226959181,103.856288833213
 NS17  CC15   ,Bishan,碧山,பீஷான்,"Kampong San Teng, San Teng
",BSH,Bishan,"  Circle Line — Bishan
",,1.36517069591469,103.83629822663
 NS18   ,Braddell,布莱德,பிரேடல்,"Braddell
",BDL,Toa Payoh,"—
",,1.34173174251354,103.864688887374
 NS19  ,Toa Payoh,大巴窑,தோ பாயோ,"Toa Payoh
",TAP,Toa Payoh," Toa Payoh
",,1.33698816679954,103.843534461049
 NS20  ,Novena,诺维娜,நொவீனா,12 December 1987,"Thomson
",NOV,Novena,"—
",1.32168260642724,103.84266424228
 NS21 – DT11   ,Newton,纽顿,நியூட்டன்,"Newton Circus
",NEW,Newton,"  Downtown Line  
",,1.31429426375311,103.841150697585
 NS22  TE14  ,Orchard,乌节,ஆர்ச்சர்ட்,"Scotts, Orchard Boulevard
",ORC,"Orchard Planning Area, River Valley Planning Area","  Thomson–East Coast Line 
",,1.29906869032036,103.846647830444
 NS23   ,Somerset,索美塞,சாமர்செட்,"Killiney
",SOM,Orchard Planning Area,"—
",,1.29937379615615,103.850356180598
 NS24  NE6  CC1  ,Dhoby Ghaut,多美歌,டோபி காட்,"Dhoby Ghaut
",DBG,Museum Planning Area,"  North East Line   Circle Line 
",,1.29870132536119,103.846113677951
 NS25  EW13   ,City Hall,政府大厦,நகர மண்டபம்,"Saint Andrew's
",CTH,Downtown Core,"  East West Line 
",,1.29075150227868,103.85176884833
 NS26  EW14   ,Raffles Place,莱佛士坊,ராஃபிள்ஸ் பிளேஸ்,"Central
",RFP,Downtown Core,"  East West Line 
",,1.28434954622306,103.851072545834
 NS27  CE2  TE20   ,Marina Bay,滨海湾,மரீனா பே,4 November 1989,"Telok Ayer Basin, Marina South
",MRB,"Downtown Core, Straits View Planning Area","  Circle Line Extension   Thomson–East Coast Line 
",1.28466203640592,103.861005919029
 NS28  ,Marina South Pier,滨海南码头,மரினா சவுத் படகுத்துறை,23 November 2014,"Marina View, Marina Pier",MSP,Straits View Planning Area," Marina South Pier  Marina Bay Cruise Centre 
",1.27102703612006,103.862447515736
 EW1  ,Pasir Ris,巴西立,பாசிர் ரிஸ்,16 December 1989,"Pasir Ris
",PSR,Pasir Ris," Pasir Ris
",1.38995467837492,103.929911230699
 EW2 – DT32   ,Tampines,淡滨尼,தெம்பினிஸ்,"Tampines North
",TAM,Tampines,"  Downtown Line  — Tampines Tampines Concourse
",,1.35214194752099,103.954010279015
 EW3  ,Simei,四美,ஸீமெய்,"Tampines South
",SIM,Tampines,"—
",,1.33785494774551,103.951352973817
 EW4  CG  ,Tanah Merah,丹那美拉,தானா மேரா,4 November 1989,"Bedok, Changi
",TNM,Bedok,"  EWL Changi Airport Branch Line 
",1.3295570107922,103.946123128424
 EW5  ,Bedok,勿洛,பிடோக்,"Chai Chee
",BDK,Bedok," Bedok
",,1.32449197461735,103.927900348438
 EW6  ,Kembangan,景万岸,கெம்பாங்கான்,"Frankel
",KEM,Bedok,"—
",,1.319622124356,103.912288714696
 EW7  ,Eunos,友诺士,யூனுஸ்,"Eunos
",EUN,Geylang," Eunos
",,1.31934126205926,103.901891285083
 EW8  CC9  ,Paya Lebar,巴耶利峇,பாய லேபார்,"Paya Lebar
",PYL,Geylang,"  Circle Line 
",,1.34849992442668,103.882592529879
 EW9  ,Aljunied,阿裕尼,அல்ஜூனிட்,"Aljunied
",ALJ,Geylang,"—
",,1.35465808509334,103.889546232338
 EW10  ,Kallang,加冷,காலாங்,"Geylang
",KAL,Kallang," Lorong 1 Geylang
",,1.32192623597067,103.872800894771
 EW11   ,Lavender,劳明达,லவண்டர்,"Crawford
",LVR,Kallang,"—
",,1.3072976722983,103.86211057095
 EW12  DT14   ,Bugis,武吉士,பூகிஸ்,"Rochore, Victoria
",BGS,"Downtown Core, Rochor","  Downtown Line 
",,1.30053391168851,103.854830942256
